Index,X,Y,Z,Stem X,Stem Y,Stem Z,Radius,Parent
,,,,,,,,
panda_link3.004,,,,,,,,
CLIP,95.10112553834915,24.541055783629417,169.84304785728455,,,,0.1,/panda/panda_link3/geometry/panda_link3
1,82.9755961894989,120.04861980676651,138.1395012140274,83.43632519245148,109.38806086778641,133.872389793396,0.026707155629992485,/panda/panda_link3/geometry/panda_link3
2,147.06265926361084,73.1116309762001,96.02318704128265,134.48087871074677,70.76293975114822,99.27143901586533,0.03068762645125389,/panda/panda_link3/geometry/panda_link3
3,80.27061820030212,112.37160861492157,66.41839444637299,80.89267462491989,103.3899113535881,73.56054335832596,0.026707155629992485,/panda/panda_link3/geometry/panda_link3
4,0.9609090629965067,66.59072637557983,36.30640730261803,1.1448489967733622,56.9886788725853,35.115957260131836,0.02248968370258808,/panda/panda_link3/geometry/panda_link3
5,-51.754310727119446,36.8327870965004,41.795965284109116,-43.679941445589066,31.661923974752426,40.48558324575424,0.02248968370258808,/panda/panda_link3/geometry/panda_link3
6,-52.22385749220848,-36.45787015557289,40.48055410385132,-42.463481426239014,-30.269118025898933,38.855161517858505,0.027122465893626213,/panda/panda_link3/geometry/panda_link3
CLIP,91.99169278144836,50.774164497852325,167.67828166484833,,,,0.1,/panda/panda_link3/geometry/panda_link3
,,,,,,,,
panda_link4.004,,,,,,,,
CLIP,3.5957787185907364,-65.78808277845383,-152.49815583229065,,,,0.1,/panda/panda_link4/geometry/panda_link4
7,6.188405677676201,-116.69033020734787,-120.33621966838837,10.21821703761816,-108.57543349266052,-118.92804503440857,0.01791204698383808,/panda/panda_link4/geometry/panda_link4
8,69.78786736726761,-119.65732276439667,-116.71803891658783,66.31918251514435,-110.67388951778412,-115.81255495548248,0.018894942477345467,/panda/panda_link4/geometry/panda_link4
9,32.180339097976685,-111.84970289468765,-66.80219620466232,33.28283503651619,-104.79804128408432,-72.55826890468597,0.01791204698383808,/panda/panda_link4/geometry/panda_link4
10,-56.0840368270874,-64.36676532030106,-42.04189404845238,-53.987856954336166,-53.43208834528923,-40.534768253564835,0.021948285400867462,/panda/panda_link4/geometry/panda_link4
11,-107.2293221950531,-12.20412366092205,-38.074202835559845,-98.1876328587532,-10.827998630702496,-36.824408918619156,0.01803245022892952,/panda/panda_link4/geometry/panda_link4
12,-90.01181274652481,45.339856296777725,-40.363214910030365,-83.46518874168396,38.96310180425644,-39.064522832632065,0.01803245022892952,/panda/panda_link4/geometry/panda_link4
CLIP,18.327033147215843,-64.8667961359024,-161.82759404182434,,,,0.1,/panda/panda_link4/geometry/panda_link4
,,,,,,,,
panda_link5.002,,,,,,,,
CLIP,15.209604986011982,145.20826935768127,40.12217000126839,,,,0.1,/panda/panda_link5/geometry/panda_link5
13,-15.5657222494483,103.10369729995728,67.55194813013077,-12.670043855905533,99.90554302930832,52.102506160736084,0.030512696132063866,/panda/panda_link5/geometry/panda_link5
14,-6.5791006200015545,-23.7069483846426,68.94049048423767,-5.566919222474098,-23.435596376657486,54.08363416790962,0.02833130955696106,/panda/panda_link5/geometry/panda_link5
15,-2.16077221557498,-140.55800437927246,52.771542221307755,-1.7497799126431346,-129.45769727230072,42.849935591220856,0.02833130955696106,/panda/panda_link5/geometry/panda_link5
CLIP,24.914944544434547,144.8652148246765,37.19165176153183,,,,0.1,/panda/panda_link5/geometry/panda_link5
