Index,X,Y,Z,Radius,Parent
CLIP,0.10149717330932617,-0.07483195513486862,0.6554231643676758,0.1,/Heat Panda/panda_link1/geometry/panda_link1/panda_link2/panda_link3/panda_link4/panda_link5
1,0.31027644872665405,-0.2867785394191742,0.594704270362854,0.046864502131938934,/Heat Panda/panda_link1/geometry/panda_link1/panda_link2/panda_link3/panda_link4/panda_link5
2,0.20492203533649445,-0.13571679592132568,0.6650285124778748,0.03230511397123337,/Heat Panda/panda_link1/geometry/panda_link1/panda_link2/panda_link3/panda_link4/panda_link5
3,0.2539229691028595,-0.19174259901046753,0.6336813569068909,0.03230511397123337,/Heat Panda/panda_link1/geometry/panda_link1/panda_link2/panda_link3/panda_link4/panda_link5
CLIP,0.10670068860054016,-0.07470683008432388,0.6645349860191345,0.1,/Heat Panda/panda_link1/geometry/panda_link1/panda_link2/panda_link3/panda_link4/panda_link5
CLIP,0.0612950474023819,-0.10453668236732483,0.7572452425956726,0.1,/Heat Panda/panda_link1/geometry/panda_link1/panda_link2/panda_link3/panda_link4
4,0.022155210375785828,-0.06877502053976059,0.7803707122802734,0.02692064456641674,/Heat Panda/panda_link1/geometry/panda_link1/panda_link2/panda_link3/panda_link4
5,-0.09591006487607956,-0.061566535383462906,0.6209220886230469,0.025750985369086266,/Heat Panda/panda_link1/geometry/panda_link1/panda_link2/panda_link3/panda_link4
6,-0.08927880227565765,-0.04766174405813217,0.7147157192230225,0.02653503231704235,/Heat Panda/panda_link1/geometry/panda_link1/panda_link2/panda_link3/panda_link4
7,-0.13567239046096802,-0.010937071405351162,0.621192216873169,0.024356571957468987,/Heat Panda/panda_link1/geometry/panda_link1/panda_link2/panda_link3/panda_link4
8,-0.1418176144361496,0.007822212763130665,0.6787950992584229,0.024356571957468987,/Heat Panda/panda_link1/geometry/panda_link1/panda_link2/panda_link3/panda_link4
9,-0.03714904189109802,-0.04864129796624184,0.755730390548706,0.02653503231704235,/Heat Panda/panda_link1/geometry/panda_link1/panda_link2/panda_link3/panda_link4
CLIP,0.07781141996383667,-0.09283101558685303,0.7517773509025574,0.1,/Heat Panda/panda_link1/geometry/panda_link1/panda_link2/panda_link3/panda_link4
CLIP,-0.021143309772014618,0.014860431663691998,0.5930880308151245,0.1,/Heat Panda/panda_link1/geometry/panda_link1/panda_link2/panda_link3
10,0.008433866314589977,0.11356590688228607,0.5876686573028564,0.033936917781829834,/Heat Panda/panda_link1/geometry/panda_link1/panda_link2/panda_link3
11,0.040250036865472794,0.08391468226909637,0.7224029302597046,0.02638002298772335,/Heat Panda/panda_link1/geometry/panda_link1/panda_link2/panda_link3
12,0.08244675397872925,0.10458694398403168,0.6704067587852478,0.025750314816832542,/Heat Panda/panda_link1/geometry/panda_link1/panda_link2/panda_link3
13,0.09963563084602356,0.053144291043281555,0.6348356604576111,0.025944886729121208,/Heat Panda/panda_link1/geometry/panda_link1/panda_link2/panda_link3
14,0.02110128663480282,0.12502090632915497,0.6707742214202881,0.025864100083708763,/Heat Panda/panda_link1/geometry/panda_link1/panda_link2/panda_link3
15,0.09058214724063873,0.04784569516777992,0.6997067332267761,0.025750314816832542,/Heat Panda/panda_link1/geometry/panda_link1/panda_link2/panda_link3
CLIP,0.010213680565357208,0.057553280144929886,0.7199697494506836,0.1,/Heat Panda/panda_link1/geometry/panda_link1/panda_link2/panda_link3
CLIP,-0.06870599091053009,-0.001137731596827507,0.5033919811248779,0.1,/Heat Panda/panda_link1/geometry/panda_link1/panda_link2
16,0.060764629393815994,0.05343107134103775,0.4385470747947693,0.026648759841918945,/Heat Panda/panda_link1/geometry/panda_link1/panda_link2
17,0.13795462250709534,0.04428009316325188,0.34146353602409363,0.03149173781275749,/Heat Panda/panda_link1/geometry/panda_link1/panda_link2
18,0.08966995030641556,0.08564209192991257,0.38789719343185425,0.026648759841918945,/Heat Panda/panda_link1/geometry/panda_link1/panda_link2
CLIP,-0.06170937418937683,-0.004927796311676502,0.5058996677398682,0.1,/Heat Panda/panda_link1/geometry/panda_link1/panda_link2
CLIP,0.009287558495998383,0.06415208429098129,0.1617828607559204,0.1,/Heat Panda/panda_link1/geometry/panda_link1
19,-0.07572517544031143,-0.03605009615421295,0.22819310426712036,0.024176444858312607,/Heat Panda/panda_link1/geometry/panda_link1
20,-0.09903887659311295,-0.06980948895215988,0.2725766897201538,0.024176444858312607,/Heat Panda/panda_link1/geometry/panda_link1
21,-0.03171268105506897,-0.07839572429656982,0.23960702121257782,0.024853264912962914,/Heat Panda/panda_link1/geometry/panda_link1
22,-0.11066403985023499,-0.0017696456052362919,0.28878527879714966,0.024907715618610382,/Heat Panda/panda_link1/geometry/panda_link1
23,-0.06391962617635727,-0.11501523852348328,0.3300892114639282,0.026647139340639114,/Heat Panda/panda_link1/geometry/panda_link1
24,-0.12225086987018585,-0.0847964733839035,0.34114497900009155,0.026647139340639114,/Heat Panda/panda_link1/geometry/panda_link1
25,-0.13241711258888245,-0.010513336397707462,0.34647250175476074,0.024907715618610382,/Heat Panda/panda_link1/geometry/panda_link1
CLIP,0.0007911196444183588,0.06481574475765228,0.16199256479740143,0.1,/Heat Panda/panda_link1/geometry/panda_link1
