Index,X,Y,Z,Stem X,Stem Y,Stem Z,Radius,Parent
,,,,,,,,
panda_link1.003,,,,,,,,
CLIP,-60.86508184671402,-43.84356737136841,14.7837670519948,,,,0.1,/panda/panda_link1/geometry/panda_link1
1,-28.34383025765419,15.382926911115646,82.4129581451416,-24.854402989149094,19.45474185049534,75.2614364027977,0.024829678237438202,/panda/panda_link1/geometry/panda_link1
2,-61.09778955578804,82.7159583568573,54.802827537059784,-54.74403128027916,79.28857952356339,51.96439474821091,0.021547729149460793,/panda/panda_link1/geometry/panda_link1
3,57.92006850242615,42.0224703848362,69.24765557050705,50.08534714579582,43.263766914606094,63.93110007047653,0.02652588300406933,/panda/panda_link1/geometry/panda_link1
4,-5.756855942308903,86.83130145072937,89.21258896589279,-5.030642729252577,83.44607800245285,82.65884220600128,0.02058906853199005,/panda/panda_link1/geometry/panda_link1
5,-5.031822249293327,126.05488300323486,40.698301047086716,-4.042111337184906,118.80431324243546,39.51999917626381,0.02058906853199005,/panda/panda_link1/geometry/panda_link1
CLIP,-60.47467514872551,-25.704434141516685,18.449749797582626,,,,0.1,/panda/panda_link1/geometry/panda_link1
,,,,,,,,
panda_link2.002,,,,,,,,
CLIP,22.010819986462593,-115.90879410505295,98.0120599269867,,,,0.1,/panda/panda_link2/geometry/panda_link2
6,36.618299782276154,-28.22974883019924,75.37489384412766,32.80877694487572,-27.902012690901756,69.65688616037369,0.02218911610543728,/panda/panda_link2/geometry/panda_link2
7,-40.8172681927681,-0.7532487506978214,77.00003683567047,-36.834198981523514,0.9476198465563357,71.65609300136566,0.02218911610543728,/panda/panda_link2/geometry/panda_link2
8,53.85307967662811,54.71428483724594,84.66463536024094,48.56505244970322,54.89463731646538,80.3879052400589,0.021946445107460022,/panda/panda_link2/geometry/panda_link2
9,-55.05421757698059,81.41764998435974,73.90660047531128,-49.33064430952072,79.00112867355347,70.72840631008148,0.022511357441544533,/panda/panda_link2/geometry/panda_link2
10,16.204992309212685,120.45370787382126,55.20453304052353,14.780200086534023,113.88495564460754,54.15208637714386,0.021946445107460022,/panda/panda_link2/geometry/panda_link2
CLIP,29.677942395210266,-117.32423305511475,94.80538219213486,,,,0.1,/panda/panda_link2/geometry/panda_link2
,,,,,,,,
panda_link3.004,,,,,,,,
CLIP,-11.774413287639618,41.49173200130463,26.50046907365322,,,,0.1,/panda/panda_link3/geometry/panda_link3
11,-11.805766262114048,76.70718431472778,14.311384409666061,-3.98600148037076,72.49037176370621,14.785454608500004,0.020676061511039734,/panda/panda_link3/geometry/panda_link3
12,-55.77652156352997,51.20757222175598,-45.61363160610199,-51.95724964141846,42.647071182727814,-46.9420924782753,0.02200212888419628,/panda/panda_link3/geometry/panda_link3
13,51.290031522512436,110.82611232995987,52.767280489206314,51.560815423727036,102.82901674509048,49.36050623655319,0.02021082676947117,/panda/panda_link3/geometry/panda_link3
14,48.58504235744476,103.14911603927612,-18.953848630189896,49.20666292309761,96.21177613735199,-13.746174983680248,0.02021082676947117,/panda/panda_link3/geometry/panda_link3
15,115.37706851959229,63.88913094997406,10.650946758687496,105.76818138360977,62.01396510004997,12.653606943786144,0.023223064839839935,/panda/panda_link3/geometry/panda_link3
CLIP,-55.76635152101517,27.722150087356567,-0.7793344557285309,,,,0.1,/panda/panda_link3/geometry/panda_link3
,,,,,,,,
panda_link4.004,,,,,,,,
CLIP,-79.23829555511475,-31.846225261688232,-80.10010421276093,,,,0.1,/panda/panda_link4/geometry/panda_link4
16,-97.72927314043045,-34.79551896452904,-42.63141006231308,-88.73414993286133,-29.03500199317932,-41.17162153124809,0.02288443222641945,/panda/panda_link4/geometry/panda_link4
17,-94.05195713043213,41.23280942440033,-37.628721445798874,-85.67064255475998,34.622207283973694,-36.11866757273674,0.02288443222641945,/panda/panda_link4/geometry/panda_link4
18,6.188405677676201,-116.69033020734787,-120.33621966838837,9.897028096020222,-109.22221839427948,-119.04028058052063,0.01791204698383808,/panda/panda_link4/geometry/panda_link4
19,32.180339097976685,-111.84970289468765,-66.80219620466232,33.19496288895607,-105.36008328199387,-72.09949195384979,0.01791204698383808,/panda/panda_link4/geometry/panda_link4
20,69.78786736726761,-119.65732276439667,-116.71803891658783,66.5956512093544,-111.3898977637291,-115.88472127914429,0.018894942477345467,/panda/panda_link4/geometry/panda_link4
CLIP,-61.229679733514786,-44.22047361731529,-81.46082609891891,,,,0.1,/panda/panda_link4/geometry/panda_link4
,,,,,,,,
panda_link5.002,,,,,,,,
CLIP,15.209604986011982,145.20826935768127,40.12217000126839,,,,0.1,/panda/panda_link5/geometry/panda_link5
21,-15.5657222494483,103.10369729995728,67.55194813013077,-12.670043855905533,99.90554302930832,52.102506160736084,0.030512696132063866,/panda/panda_link5/geometry/panda_link5
22,-6.5791006200015545,-23.7069483846426,68.94049048423767,-5.566919222474098,-23.435596376657486,54.08363416790962,0.02833130955696106,/panda/panda_link5/geometry/panda_link5
23,-2.16077221557498,-140.55800437927246,52.771542221307755,-1.7497799126431346,-129.45769727230072,42.849935591220856,0.02833130955696106,/panda/panda_link5/geometry/panda_link5
CLIP,24.914944544434547,144.8652148246765,37.19165176153183,,,,0.1,/panda/panda_link5/geometry/panda_link5
