Index,X,Y,Z,Stem X,Stem Y,Stem Z,Radius,Parent
,,,,,,,,
panda_link2.002,,,,,,,,
CLIP,14.57282342016697,27.73839980363846,144.56084370613098,,,,0.1,/panda/panda_link2/geometry/panda_link2
1,-23.078572005033493,42.16983914375305,76.9701898097992,-19.96830105781555,33.248670399188995,74.12316650152206,0.021927669644355774,/panda/panda_link2/geometry/panda_link2
2,51.59009248018265,33.08754041790962,55.58677762746811,44.50874403119087,26.173673570156097,52.092213183641434,0.023323703557252884,/panda/panda_link2/geometry/panda_link2
3,-14.483708888292313,87.45470643043518,23.316044360399246,-12.687770649790764,80.85175603628159,16.206737607717514,0.021927669644355774,/panda/panda_link2/geometry/panda_link2
4,55.323902517557144,80.58863133192062,-2.6405700482428074,47.50717058777809,76.00431889295578,-6.934536620974541,0.022283846512436867,/panda/panda_link2/geometry/panda_link2
5,5.553358234465122,113.22970688343048,-42.94780641794205,4.8407563008368015,103.33555191755295,-41.807111352682114,0.022189239040017128,/panda/panda_link2/geometry/panda_link2
6,-60.3434294462204,85.46295762062073,-39.77631777524948,-52.10695415735245,79.8686295747757,-39.02309387922287,0.022189239040017128,/panda/panda_link2/geometry/panda_link2
7,47.36560955643654,66.83443486690521,-82.59350806474686,40.45430198311806,64.40465152263641,-75.51191747188568,0.022642580792307854,/panda/panda_link2/geometry/panda_link2
8,-23.875337094068527,63.42928111553192,-98.34340959787369,-20.415492355823517,61.20939552783966,-89.11408483982086,0.02245202474296093,/panda/panda_link2/geometry/panda_link2
CLIP,-2.393371192738414,29.342414811253548,144.57294344902039,,,,0.1,/panda/panda_link2/geometry/panda_link2
,,,,,,,,
panda_link3.004,,,,,,,,
CLIP,-11.774413287639618,41.49173200130463,26.50046907365322,,,,0.1,/panda/panda_link3/geometry/panda_link3
9,-11.805766262114048,76.70718431472778,14.311384409666061,-3.98600148037076,72.49037176370621,14.785454608500004,0.020676061511039734,/panda/panda_link3/geometry/panda_link3
10,-55.77652156352997,51.20757222175598,-45.61363160610199,-51.95724964141846,42.647071182727814,-46.9420924782753,0.02200212888419628,/panda/panda_link3/geometry/panda_link3
11,51.290031522512436,110.82611232995987,52.767280489206314,51.560815423727036,102.82901674509048,49.36050623655319,0.02021082676947117,/panda/panda_link3/geometry/panda_link3
12,48.58504235744476,103.14911603927612,-18.953848630189896,49.20666292309761,96.21177613735199,-13.746174983680248,0.02021082676947117,/panda/panda_link3/geometry/panda_link3
13,115.37706851959229,63.88913094997406,10.650946758687496,105.76818138360977,62.01396510004997,12.653606943786144,0.023223064839839935,/panda/panda_link3/geometry/panda_link3
CLIP,-55.76635152101517,27.722150087356567,-0.7793344557285309,,,,0.1,/panda/panda_link3/geometry/panda_link3
,,,,,,,,
panda_link4.004,,,,,,,,
CLIP,-79.23829555511475,-31.846225261688232,-80.10010421276093,,,,0.1,/panda/panda_link4/geometry/panda_link4
14,-97.72927314043045,-34.79551896452904,-42.63141006231308,-88.73414993286133,-29.03500199317932,-41.17162153124809,0.02288443222641945,/panda/panda_link4/geometry/panda_link4
15,-94.05195713043213,41.23280942440033,-37.628721445798874,-85.67064255475998,34.622207283973694,-36.11866757273674,0.02288443222641945,/panda/panda_link4/geometry/panda_link4
16,6.188405677676201,-116.69033020734787,-120.33621966838837,9.897028096020222,-109.22221839427948,-119.04028058052063,0.01791204698383808,/panda/panda_link4/geometry/panda_link4
17,32.180339097976685,-111.84970289468765,-66.80219620466232,33.19496288895607,-105.36008328199387,-72.09949195384979,0.01791204698383808,/panda/panda_link4/geometry/panda_link4
18,69.78786736726761,-119.65732276439667,-116.71803891658783,66.5956512093544,-111.3898977637291,-115.88472127914429,0.018894942477345467,/panda/panda_link4/geometry/panda_link4
CLIP,-61.229679733514786,-44.22047361731529,-81.46082609891891,,,,0.1,/panda/panda_link4/geometry/panda_link4
,,,,,,,,
panda_link5.002,,,,,,,,
CLIP,15.209604986011982,145.20826935768127,40.12217000126839,,,,0.1,/panda/panda_link5/geometry/panda_link5
19,-15.5657222494483,103.10369729995728,67.55194813013077,-12.670043855905533,99.90554302930832,52.102506160736084,0.030512696132063866,/panda/panda_link5/geometry/panda_link5
20,-6.5791006200015545,-23.7069483846426,68.94049048423767,-5.566919222474098,-23.435596376657486,54.08363416790962,0.02833130955696106,/panda/panda_link5/geometry/panda_link5
21,-2.16077221557498,-140.55800437927246,52.771542221307755,-1.7497799126431346,-129.45769727230072,42.849935591220856,0.02833130955696106,/panda/panda_link5/geometry/panda_link5
CLIP,24.914944544434547,144.8652148246765,37.19165176153183,,,,0.1,/panda/panda_link5/geometry/panda_link5
