Index,X,Y,Z,Radius,Parent
CLIP,-0.028423912823200226,-0.05302317067980766,0.00423418078571558,0.1,/panda/panda_link2/visuals
1,-0.04518337547779083,-0.09720596671104431,0.056536488234996796,0.01941073313355446,/panda/panda_link2/visuals
2,0.03648940101265907,-0.02893643081188202,0.12114765495061874,0.017404945567250252,/panda/panda_link2/visuals
3,0.010109434835612774,-0.1379704475402832,0.06585226953029633,0.01941073313355446,/panda/panda_link2/visuals
4,-0.02720455452799797,-0.03399019315838814,0.123771071434021,0.017905432730913162,/panda/panda_link2/visuals
5,0.01786915957927704,0.029743589460849762,0.12974247336387634,0.017404945567250252,/panda/panda_link2/visuals
CLIP,-0.017530040815472603,0.052654117345809937,0.08683174848556519,0.1,/panda/panda_link2/visuals
CLIP,0.04138370603322983,0.05840448662638664,-0.03276706114411354,0.1,/panda/panda_link5/visuals
6,0.02291971445083618,0.12259940803050995,-0.05127072334289551,0.016312435269355774,/panda/panda_link5/visuals
7,-0.03095247969031334,0.11203837394714355,-0.08795627951622009,0.013176760636270046,/panda/panda_link5/visuals
8,-0.025065355002880096,0.06230171024799347,-0.09570570290088654,0.013176760636270046,/panda/panda_link5/visuals
9,0.039446089416742325,0.07716654241085052,-0.10848818719387054,0.013138401322066784,/panda/panda_link5/visuals
10,-0.023382805287837982,0.13498957455158234,-0.01078757643699646,0.016312435269355774,/panda/panda_link5/visuals
11,0.009355733171105385,0.10954539477825165,-0.13297685980796814,0.013138401322066784,/panda/panda_link5/visuals
CLIP,-0.030105477198958397,0.08489489555358887,-0.18461202085018158,0.1,/panda/panda_link5/visuals
