Sensor Index,Contact Count,X Position,Y Position,Z Position
0,0,-0.05179592967033386,-0.11825257539749146,0.042523544281721115
1,0,-0.018429510295391083,0.04247996211051941,0.12116958200931549
2,0,-4.601017280947417e-05,-0.1446177214384079,0.06613811105489731
3,13,0.05107200890779495,-0.01361071690917015,0.1133415699005127
4,0,0.046559061855077744,-0.0662645474076271,0.07170070707798004
5,0,-0.05455567315220833,-0.05575812608003616,0.06661324203014374
6,0,-0.0557185634970665,-0.008543837815523148,0.10630576312541962
7,0,0.05254584923386574,-0.12328140437602997,0.04048441722989082
8,1,-0.006911785341799259,-0.050787895917892456,0.11638675630092621
9,4,0.018352624028921127,0.12933756411075592,0.03397013247013092
10,5,0.0038720713928341866,0.113578200340271,-0.11349067091941833
11,0,0.010106644593179226,0.10074809938669205,-0.17778506875038147
12,18,0.006978054530918598,0.12940660119056702,-0.04025235399603844
13,9,-0.005854692310094833,0.1214095801115036,-0.06837178021669388
14,1,-0.03111525997519493,0.11191853135824203,-0.08820448815822601
15,9,0.020751524716615677,0.10688710957765579,-0.14118772745132446
16,8,0.025456732138991356,0.1147850900888443,-0.0878644734621048
17,67,0.026453683152794838,0.13409021496772766,-0.009810781106352806
18,38,-0.01167701929807663,0.13645270466804504,-0.016492566093802452
19,20,-0.006065039895474911,0.1383775770664215,0.0172169990837574
20,27,-0.03779372572898865,0.12279115617275238,0.02636174112558365
